microsecond	duration	track	channel	instrument	pitch	velocity	bar	beat	bar_diff	beat_diff
97363048	529147	0x01	0x01	0x01	0x4B	0x54	46.0000	0.2500	184.0000	1.0000
97892195	529147	0x01	0x01	0x01	0x49	0x4F	46.2500	0.2500	185.0000	1.0000
98950489	132286	0x01	0x01	0x01	0x44	0x4A	46.7500	0.0625	187.0000	0.2500
99082775	132287	0x01	0x01	0x01	0x46	0x4C	46.8125	0.0625	187.2500	0.2500
99215062	132287	0x01	0x01	0x01	0x49	0x51	46.8750	0.0625	187.5000	0.2500
99347349	132287	0x01	0x01	0x01	0x46	0x4B	46.9375	0.0625	187.7500	0.2500
99479636	396860	0x01	0x01	0x01	0x4D	0x57	47.0000	0.1875	188.0000	0.7500
99876496	396860	0x01	0x01	0x01	0x4D	0x55	47.1875	0.1875	188.7500	0.7500
100273356	396860	0x01	0x01	0x01	0x4B	0x4F	47.3750	0.1875	189.5000	0.7500
101067077	132286	0x01	0x01	0x01	0x44	0x45	47.7500	0.0625	191.0000	0.2500
101199363	132287	0x01	0x01	0x01	0x46	0x49	47.8125	0.0625	191.2500	0.2500
101331650	132287	0x01	0x01	0x01	0x49	0x4F	47.8750	0.0625	191.5000	0.2500
101463937	132287	0x01	0x01	0x01	0x46	0x48	47.9375	0.0625	191.7500	0.2500
101596224	529147	0x01	0x01	0x01	0x50	0x58	48.0000	0.2500	192.0000	1.0000
102125371	264573	0x01	0x01	0x01	0x48	0x4D	48.2500	0.1250	193.0000	0.5000
102389944	396860	0x01	0x01	0x01	0x49	0x4E	48.3750	0.1875	193.5000	0.7500
102786804	132287	0x01	0x01	0x01	0x48	0x4B	48.5625	0.0625	194.2500	0.2500
102919091	132287	0x01	0x01	0x01	0x46	0x47	48.6250	0.0625	194.5000	0.2500
103183665	132286	0x01	0x01	0x01	0x44	0x44	48.7500	0.0625	195.0000	0.2500
103315951	132287	0x01	0x01	0x01	0x46	0x4A	48.8125	0.0625	195.2500	0.2500
103448238	132287	0x01	0x01	0x01	0x49	0x52	48.8750	0.0625	195.5000	0.2500
103580525	132287	0x01	0x01	0x01	0x46	0x49	48.9375	0.0625	195.7500	0.2500
103712812	529147	0x01	0x01	0x01	0x49	0x53	49.0000	0.2500	196.0000	1.0000
104241959	132286	0x01	0x01	0x01	0x4B	0x54	49.2500	0.0625	197.0000	0.2500
104506532	66143	0x01	0x01	0x01	0x47	0x4A	49.3750	0.0313	197.5000	0.1250
104572675	198431	0x01	0x01	0x01	0x48	0x4C	49.4063	0.0938	197.6250	0.3750
104771106	264573	0x01	0x01	0x01	0x46	0x48	49.5000	0.1250	198.0000	0.5000
105035679	264574	0x01	0x01	0x01	0x44	0x44	49.6250	0.1250	198.5000	0.5000
105564826	132287	0x01	0x01	0x01	0x44	0x48	49.8750	0.0625	199.5000	0.2500
105829400	529147	0x01	0x01	0x01	0x4B	0x54	50.0000	0.2500	200.0000	1.0000
106358547	529147	0x01	0x01	0x01	0x49	0x4F	50.2500	0.2500	201.0000	1.0000
107416841	132286	0x01	0x01	0x01	0x44	0x4A	50.7500	0.0625	203.0000	0.2500
107549127	132287	0x01	0x01	0x01	0x46	0x4C	50.8125	0.0625	203.2500	0.2500
107681414	132287	0x01	0x01	0x01	0x49	0x51	50.8750	0.0625	203.5000	0.2500
107813701	132287	0x01	0x01	0x01	0x46	0x4B	50.9375	0.0625	203.7500	0.2500
107945988	396860	0x01	0x01	0x01	0x4D	0x57	51.0000	0.1875	204.0000	0.7500
108342848	396860	0x01	0x01	0x01	0x4D	0x55	51.1875	0.1875	204.7500	0.7500
108739708	396860	0x01	0x01	0x01	0x4B	0x4F	51.3750	0.1875	205.5000	0.7500
109533429	132286	0x01	0x01	0x01	0x44	0x45	51.7500	0.0625	207.0000	0.2500
109665715	132287	0x01	0x01	0x01	0x46	0x49	51.8125	0.0625	207.2500	0.2500
109798002	132287	0x01	0x01	0x01	0x49	0x4F	51.8750	0.0625	207.5000	0.2500
109930289	132287	0x01	0x01	0x01	0x46	0x48	51.9375	0.0625	207.7500	0.2500
110062576	396860	0x01	0x01	0x01	0x4B	0x55	52.0000	0.1875	208.0000	0.7500
110459436	396860	0x01	0x01	0x01	0x4B	0x53	52.1875	0.1875	208.7500	0.7500
110856296	396860	0x01	0x01	0x01	0x49	0x4D	52.3750	0.1875	209.5000	0.7500
111253156	132287	0x01	0x01	0x01	0x48	0x4B	52.5625	0.0625	210.2500	0.2500
111385443	132287	0x01	0x01	0x01	0x46	0x47	52.6250	0.0625	210.5000	0.2500
111650017	132286	0x01	0x01	0x01	0x44	0x44	52.7500	0.0625	211.0000	0.2500
111782303	132287	0x01	0x01	0x01	0x46	0x4A	52.8125	0.0625	211.2500	0.2500
111914590	132287	0x01	0x01	0x01	0x49	0x52	52.8750	0.0625	211.5000	0.2500
112046877	132287	0x01	0x01	0x01	0x46	0x49	52.9375	0.0625	211.7500	0.2500
112179164	529147	0x01	0x01	0x01	0x49	0x53	53.0000	0.2500	212.0000	1.0000
112708311	132286	0x01	0x01	0x01	0x4B	0x54	53.2500	0.0625	213.0000	0.2500
112972884	66143	0x01	0x01	0x01	0x47	0x4A	53.3750	0.0313	213.5000	0.1250
113039027	198431	0x01	0x01	0x01	0x48	0x4C	53.4063	0.0938	213.6250	0.3750
113237458	264573	0x01	0x01	0x01	0x46	0x48	53.5000	0.1250	214.0000	0.5000
113502031	264574	0x01	0x01	0x01	0x44	0x44	53.6250	0.1250	214.5000	0.5000
114031178	132287	0x01	0x01	0x01	0x44	0x48	53.8750	0.0625	215.5000	0.2500
114295752	529147	0x01	0x01	0x01	0x4B	0x54	54.0000	0.2500	216.0000	1.0000
114824899	529147	0x01	0x01	0x01	0x49	0x4F	54.2500	0.2500	217.0000	1.0000
115883193	132286	0x01	0x01	0x01	0x44	0x4A	54.7500	0.0625	219.0000	0.2500
116015479	132287	0x01	0x01	0x01	0x46	0x4C	54.8125	0.0625	219.2500	0.2500
116147766	132287	0x01	0x01	0x01	0x49	0x51	54.8750	0.0625	219.5000	0.2500
116280053	132287	0x01	0x01	0x01	0x46	0x4B	54.9375	0.0625	219.7500	0.2500
116412340	396860	0x01	0x01	0x01	0x4D	0x57	55.0000	0.1875	220.0000	0.7500
116809200	396860	0x01	0x01	0x01	0x4D	0x55	55.1875	0.1875	220.7500	0.7500
117206060	396860	0x01	0x01	0x01	0x4B	0x4F	55.3750	0.1875	221.5000	0.7500
117999781	132286	0x01	0x01	0x01	0x44	0x45	55.7500	0.0625	223.0000	0.2500
118132067	132287	0x01	0x01	0x01	0x46	0x49	55.8125	0.0625	223.2500	0.2500
118264354	132287	0x01	0x01	0x01	0x49	0x4F	55.8750	0.0625	223.5000	0.2500
118396641	132287	0x01	0x01	0x01	0x46	0x48	55.9375	0.0625	223.7500	0.2500
118528928	529147	0x01	0x01	0x01	0x50	0x58	56.0000	0.2500	224.0000	1.0000
119058075	264573	0x01	0x01	0x01	0x48	0x4D	56.2500	0.1250	225.0000	0.5000
119322648	396860	0x01	0x01	0x01	0x49	0x4E	56.3750	0.1875	225.5000	0.7500
119719508	132287	0x01	0x01	0x01	0x48	0x4B	56.5625	0.0625	226.2500	0.2500
119851795	132287	0x01	0x01	0x01	0x46	0x47	56.6250	0.0625	226.5000	0.2500
120116369	132286	0x01	0x01	0x01	0x44	0x44	56.7500	0.0625	227.0000	0.2500
120248655	132287	0x01	0x01	0x01	0x46	0x4A	56.8125	0.0625	227.2500	0.2500
120380942	132287	0x01	0x01	0x01	0x49	0x52	56.8750	0.0625	227.5000	0.2500
120513229	132287	0x01	0x01	0x01	0x46	0x49	56.9375	0.0625	227.7500	0.2500
120645516	529147	0x01	0x01	0x01	0x49	0x53	57.0000	0.2500	228.0000	1.0000
121174663	132286	0x01	0x01	0x01	0x4B	0x54	57.2500	0.0625	229.0000	0.2500
121439236	66143	0x01	0x01	0x01	0x47	0x4A	57.3750	0.0313	229.5000	0.1250
121505379	198431	0x01	0x01	0x01	0x48	0x4C	57.4063	0.0938	229.6250	0.3750
121703810	264573	0x01	0x01	0x01	0x46	0x48	57.5000	0.1250	230.0000	0.5000
